name,price,description,stock
"Juice - Apple, 341 Ml",72.2,encryption,41
Cake - Night And Day Choclate,76.2,secondary,33
Chinese Lemon Pork,71.7,Distributed,25
Melon - Cantaloupe,62.9,client-driven,5
Wine - Cabernet Sauvignon,59.4,Customer-focused,40
Wine - Domaine Boyar Royal,29.3,Team-oriented,47
Mushroom Morel Fresh,68.9,projection,27
Goat - Whole Cut,73.1,interface,29
Russian Prince,61.1,human-resource,14
"Rum - Coconut, Malibu",19.2,synergy,50
"Brocolinni - Gaylan, Chinese",44.1,dynamic,47
"Salt - Rock, Course",99.3,non-volatile,43
Raspberries - Frozen,55.6,didactic,43
Flour Dark Rye,82.7,Optimized,24
Mushroom - King Eryingii,76.7,Secured,22
"Wine - Red, Cabernet Merlot",87.6,Universal,41
"7up Diet, 355 Ml",52.7,moratorium,6
Yogurt - Plain,63.7,actuating,39
Arctic Char - Fillets,56.7,actuating,33
Peach - Halves,10.6,structure,28
Foam Dinner Plate,9.2,Profound,29
Oranges,28.9,De-engineered,37
Bagels Poppyseed,33.1,national,32
Vanilla Beans,85.6,static,20
Thyme - Fresh,70.2,matrices,7
Bar - Sweet And Salty Chocolate,43.4,Multi-lateral,40
Truffle Cups Green,85.9,content-based,41
Dooleys Toffee,22.0,bifurcated,43
Rice Wine - Aji Mirin,7.2,Digitized,40
Onions - Cooking,60.6,neutral,37
Goulash Seasoning,31.7,intranet,46
Veal - Striploin,43.6,Team-oriented,33
Straw - Regular,46.4,Innovative,30
Grenadillo,54.2,task-force,50
"Beef - Outside, Round",20.0,Decentralized,4
Dc Hikiage Hira Huba,2.3,Cross-group,42
"Peas - Pigeon, Dry",16.6,utilisation,6
Wine - Lou Black Shiraz,32.9,systemic,1
Rosemary - Fresh,56.1,encompassing,41
Coriander - Ground,12.2,Graphical User Interface,9
Wooden Mop Handle,60.0,methodical,18
Soup - Campbells Tomato Ravioli,58.0,Graphical User Interface,46
Wine - Chianti Classico Riserva,31.2,zero defect,14
Ice Cream - Turtles Stick Bar,67.2,contingency,48
Strawberries,97.0,User-friendly,17
Beef - Short Ribs,1.7,productivity,31
Table Cloth 62x114 White,95.0,focus group,41
Wine - Beringer Founders Estate,61.7,Polarised,42
"Bread - Pita, Mini",14.7,adapter,26
Bag - Clear 7 Lb,46.4,database,37
"Radish - Black, Winter, Organic",57.2,impactful,42
"Star Anise, Whole",2.8,process improvement,17
Salad Dressing,56.9,challenge,4
"Yogurt - Banana, 175 Gr",11.5,disintermediate,13
Bagel - Whole White Sesame,56.2,Pre-emptive,30
Amaretto,82.7,archive,23
Sauce Bbq Smokey,62.2,uniform,40
Milk - Chocolate 250 Ml,68.0,matrix,29
Orange - Tangerine,53.5,Multi-lateral,28
Vinegar - Rice,32.4,Decentralized,24
Corn - On The Cob,20.2,info-mediaries,27
"Lamb - Whole Head Off,nz",27.9,Fully-configurable,31
Boogies,32.3,architecture,23
Ecolab - Balanced Fusion,89.3,Enterprise-wide,28
Vinegar - Sherry,72.9,Function-based,24
Lamb Leg - Bone - In Nz,71.4,tertiary,4
Water - San Pellegrino,31.4,Secured,50
"Wine - Sherry Dry Sack, William",4.8,attitude,27
Red Pepper Paste,49.3,Pre-emptive,11
"Veal - Brisket, Provimi,bnls",65.3,neural-net,29
Towel Dispenser,51.1,Expanded,15
"Potatoes - Purple, Organic",6.4,Re-engineered,41
Capon - Whole,65.8,zero defect,21
Muffin - Mix - Bran And Maple 15l,46.4,systematic,27
Pie Shell - 5,35.5,utilisation,30
Juice - Happy Planet,79.6,Re-engineered,26
Wine - Placido Pinot Grigo,96.7,Ergonomic,4
Soup - Verve - Chipotle Chicken,80.4,dedicated,37
Pepper - Chili Powder,53.0,radical,23
Coffee Beans - Chocolate,61.0,installation,50
Cabbage - Red,46.9,systemic,28
Fiddlehead - Frozen,3.6,model,27
Juice - Ocean Spray Cranberry,93.7,eco-centric,11
"Tortillas - Flour, 12",89.7,standardization,16
Peas Snow,30.8,motivating,8
Baking Powder,67.2,analyzer,42
Wine - Red Oakridge Merlot,1.1,next generation,35
Crawfish,39.1,neural-net,14
Ice Cream Bar - Hagen Daz,27.4,product,38
Cranberry Foccacia,77.0,Quality-focused,6
Wine - Marlbourough Sauv Blanc,50.7,frame,28
"Beef - Rouladin, Sliced",48.4,Inverse,5
Irish Cream - Butterscotch,47.0,instruction set,32
Jerusalem Artichoke,26.3,regional,48
Chef Hat 25cm,3.1,analyzer,14
Wine - Duboeuf Beaujolais,70.2,archive,37
Anchovy Fillets,28.8,Intuitive,37
Pepper - Red Thai,74.2,multi-state,31
Ham - Proscuitto,89.7,Vision-oriented,33
Catfish - Fillets,94.0,3rd generation,9
Grenadine,89.6,Mandatory,42
Versatainer Nc - 888,26.0,paradigm,29
Cheese - Perron Cheddar,46.9,Front-line,49
Foil Cont Round,99.1,Multi-tiered,27
Coffee - Dark Roast,32.4,artificial intelligence,11
Table Cloth 90x90 Colour,34.0,systematic,7
"Wine - White, Chardonnay",5.8,motivating,47
"Pasta - Fett Alfredo, Single Serve",53.1,implementation,38
"Doilies - 5, Paper",7.9,orchestration,27
"Wine - Niagara,vqa Reisling",73.3,service-desk,27
Soup - Campbells Bean Medley,90.4,disintermediate,37
Vodka - Smirnoff,30.7,Versatile,43
Wood Chips - Regular,88.9,capacity,45
Bacardi Breezer - Tropical,94.9,Total,22
"Tomatoes - Cherry, Yellow",81.7,Focused,21
"Juice - Orange, 341 Ml",71.3,moderator,40
Poppy Seed,92.0,non-volatile,18
Oil - Hazelnut,40.7,Progressive,43
Nori Sea Weed - Gold Label,16.2,hub,41
Crackers - Soda / Saltins,78.7,modular,48
Wine - Muscadet Sur Lie,73.0,bifurcated,32
Pork - Ham Hocks - Smoked,99.1,mission-critical,38
Pate Pans Yellow,18.6,analyzer,9
Shiro Miso,22.4,attitude-oriented,10
Icecream - Dibs,83.5,web-enabled,45
Extract - Rum,32.2,infrastructure,5
Tuna - Loin,72.4,frame,11
Muffin - Mix - Creme Brule 15l,39.7,initiative,6
Chips Potato Salt Vinegar 43g,51.6,needs-based,13
Glycerine,12.7,Public-key,2
Bread - Olive Dinner Roll,88.1,synergy,5
Sauce - Balsamic Viniagrette,43.4,mission-critical,2
Sobe - Lizard Fuel,74.3,contextually-based,5
"Lamb - Whole Head Off,nz",92.1,task-force,25
"Wine - White, Ej Gallo",11.1,local area network,6
"Olives - Green, Pitted",77.2,Phased,22
Wine - Magnotta - Cab Franc,67.4,Total,5
Cheese - Stilton,1.5,Vision-oriented,1
Zucchini - Yellow,39.7,radical,17
Oil - Shortening - All - Purpose,5.0,transitional,39
Kohlrabi,29.3,object-oriented,33
Salt - Celery,44.7,responsive,10
Soup - Tomato Mush. Florentine,10.0,Up-sized,32
Neckerchief Blck,60.6,Reverse-engineered,31
"Wine - White, Mosel Gold",59.3,needs-based,9
Sausage - Andouille,92.7,intermediate,38
Ice Cream - Vanilla,93.9,full-range,17
Crab Brie In Phyllo,70.9,Quality-focused,40
"Shrimp - Baby, Cold Water",85.1,Realigned,2
"Sauce - White, Mix",56.1,Grass-roots,13
Napkin - Beverage 1 Ply,26.8,Graphic Interface,12
"Tomatoes - Vine Ripe, Red",32.6,task-force,6
Sauce - Chili,54.4,moratorium,42
Tuna - Fresh,73.1,Self-enabling,48
Coffee - Espresso,52.8,24 hour,35
Chicken - Ground,42.3,projection,32
Mushroom - Portebello,55.7,Ameliorated,25
Tea - Mint,58.6,open architecture,39
Star Fruit,12.1,product,8
Mortadella,88.8,User-centric,48
Zucchini - Yellow,1.0,real-time,37
"Cheese - Brie, Triple Creme",16.5,Future-proofed,31
Tea - Herbal - 6 Asst,49.0,asymmetric,4
Syrup - Monin - Granny Smith,99.7,Future-proofed,45
Pears - Bosc,75.3,circuit,5
Cheese - Provolone,32.6,complexity,28
"Pesto - Primerba, Paste",78.9,full-range,30
